id,attr_time,,attr_x,attr_y,attr_z
102,1.54718E+12,2018-01-11 14:52:06,-0.200684,2.57571,8.92102
103,1.54718E+12,2018-01-11 14:52:06,-0.248932,2.62396,8.88736
104,1.54718E+12,2018-01-11 14:52:06,-0.239136,2.6577,8.89716
105,1.54718E+12,2018-01-11 14:52:06,-0.210693,2.64253,8.9464
106,1.54718E+12,2018-01-11 14:52:07,-0.210693,2.61014,9.05631
107,1.54718E+12,2018-01-11 14:52:07,-0.210693,2.65466,9.11839
108,1.54718E+12,2018-01-11 14:52:07,-0.180252,2.63583,9.02974
109,1.54718E+12,2018-01-11 14:52:07,-0.190475,2.62724,8.89264
110,1.54718E+12,2018-01-11 14:52:07,-0.172379,2.6815,8.99518
111,1.54718E+12,2018-01-11 14:52:07,-0.172379,2.65942,8.97722
112,1.54718E+12,2018-01-11 14:52:07,-0.156372,2.59512,8.89668
113,1.54718E+12,2018-01-11 14:52:07,-0.172379,2.60672,8.94402
114,1.54718E+12,2018-01-11 14:52:07,-0.151947,2.62404,9.16483
115,1.54718E+12,2018-01-11 14:52:07,-0.138458,2.60051,9.15709
116,1.54718E+12,2018-01-11 14:52:07,-0.220123,2.66934,8.84714
117,1.54718E+12,2018-01-11 14:52:07,-0.265594,2.74153,8.81325
118,1.54718E+12,2018-01-11 14:52:07,-0.241486,2.7506,8.80728
119,1.54718E+12,2018-01-11 14:52:07,-0.20488,2.71399,8.88473
120,1.54718E+12,2018-01-11 14:52:07,-0.191544,2.75302,9.10188
121,1.54718E+12,2018-01-11 14:52:07,-0.1819,2.6815,9.02443
122,1.54718E+12,2018-01-11 14:52:07,-0.158844,2.698,8.92824
123,1.54718E+12,2018-01-11 14:52:07,-0.244446,2.69336,8.93288
124,1.54718E+12,2018-01-11 14:52:07,-0.268158,2.6633,8.99933
125,1.54718E+12,2018-01-11 14:52:07,-0.229843,2.616,8.97101
126,1.54718E+12,2018-01-11 14:52:07,-0.211884,2.58574,8.96155
127,1.54718E+12,2018-01-11 14:52:07,-0.233429,2.64157,9.01616
128,1.54718E+12,2018-01-11 14:52:07,-0.173264,2.66235,9.0403
129,1.54718E+12,2018-01-11 14:52:07,-0.191391,2.67661,8.9449
130,1.54718E+12,2018-01-11 14:52:07,-0.229599,2.71982,8.88728
131,1.54718E+12,2018-01-11 14:52:07,-0.196014,2.76387,8.91666
132,1.54718E+12,2018-01-11 14:52:07,-0.135635,2.73639,8.94525
133,1.54718E+12,2018-01-11 14:52:07,-0.191544,2.64867,8.99129
134,1.54718E+12,2018-01-11 14:52:07,-0.212402,2.67278,9.08052
135,1.54718E+12,2018-01-11 14:52:07,-0.214462,2.74309,9.05179
136,1.54718E+12,2018-01-11 14:52:07,-0.213196,2.71608,8.90894
137,1.54718E+12,2018-01-11 14:52:07,-0.23671,2.65004,8.98779
138,1.54718E+12,2018-01-11 14:52:07,-0.221893,2.57924,9.09001
139,1.54718E+12,2018-01-11 14:52:07,-0.19751,2.57976,9.0333
140,1.54718E+12,2018-01-11 14:52:07,-0.172379,2.70456,8.85094
141,1.54718E+12,2018-01-11 14:52:07,-0.207321,2.74594,8.931
142,1.54718E+12,2018-01-11 14:52:07,-0.244293,2.77003,8.94505
143,1.54718E+12,2018-01-11 14:52:07,-0.196106,2.79414,8.87041
