id,attr_time,attr_x,attr_y,attr_z
198,1547182328354,-0.150116,2.90822,8.84192
199,1547182328370,-0.126022,2.90025,9.03447
200,1547182328386,-0.0757446,2.87215,9.09189
201,1547182328402,-0.0754852,2.83586,9.06195
202,1547182328434,-0.147247,2.88503,9.22372
203,1547182328449,-0.00904846,2.86142,9.17352
204,1547182328466,0.0598145,2.41371,8.87048
205,1547182328482,-0.186691,2.74799,9.52393
206,1547182328514,0.343842,2.90039,9.1637
207,1547182328530,0.306824,3.00703,8.15176
208,1547182328545,0.0945129,3.01173,7.86476
209,1547182328576,0.686951,3.74379,7.61983
210,1547182328594,0.443497,4.23195,7.41878
211,1547182328609,-0.0791168,4.61156,7.33583
212,1547182328626,-0.743607,4.84981,7.89862
213,1547182328656,-1.20348,4.90866,8.29468
214,1547182328672,-1.1008,4.98093,8.78354
215,1547182328688,-0.80957,4.68941,9.07603
216,1547182328705,-0.383514,4.19829,8.7728
217,1547182328735,-0.207489,4.06444,8.3698
218,1547182328752,-0.363922,4.27684,8.09726
219,1547182328767,-0.446182,4.20509,8.00751
220,1547182328783,-0.815735,4.27582,8.11142
221,1547182328818,-0.864151,4.30957,8.27226
222,1547182328831,-0.630158,4.35464,8.26273
223,1547182328847,-0.628677,4.53685,8.14951
224,1547182328862,-0.72612,4.47488,8.29195
225,1547182328895,-0.749725,4.4409,8.51132
226,1547182328912,-0.620758,4.49544,8.56384
227,1547182328928,-0.515869,4.43639,8.29433
228,1547182328944,-0.534393,4.27893,8.05316
229,1547182328976,-0.613708,4.3517,7.30687
230,1547182328992,-1.06709,4.47383,7.21082
231,1547182329008,-1.25188,4.29909,9.91231
232,1547182329024,-1.05612,4.42314,10.0565
233,1547182329055,-0.847519,4.53952,7.42841
234,1547182329092,-0.881409,4.54039,6.58852
235,1547182329093,-1.06189,4.65564,8.15694
236,1547182329170,-0.991348,4.24745,9.34078
237,1547182329171,-0.790466,4.14603,8.89059
238,1547182329171,-0.603714,4.28856,8.18486
239,1547182329171,-0.548035,4.1786,8.01736
240,1547182329199,-0.663422,4.02881,8.09314
241,1547182329211,-0.912674,4.16255,8.34955
242,1547182329227,-0.927307,4.15305,8.40981
243,1547182329243,-0.806152,4.15335,8.1275
244,1547182329276,-0.631058,4.13718,8.07579
245,1547182329291,-0.487442,4.1441,8.21329
246,1547182329306,-0.595978,4.22794,8.32211
247,1547182329323,-0.749969,4.28809,8.45204
248,1547182329355,-0.763458,4.30957,8.47996
249,1547182329370,-0.7547,4.30186,8.23944
250,1547182329386,-0.715469,4.29041,8.01329
251,1547182329402,-0.67189,4.25511,8.12671
252,1547182329435,-0.741669,4.20688,8.24643
253,1547182329449,-0.846451,4.25107,8.4111
254,1547182329466,-0.766266,4.24069,8.36073
255,1547182329482,-0.763931,4.19464,8.20071
256,1547182329516,-0.717087,4.22035,8.20196
257,1547182329530,-0.811325,4.18468,8.24448
258,1547182329545,-0.824463,4.25125,8.21776
259,1547182329561,-0.804459,4.23302,8.00659
260,1547182329592,-0.790207,4.26192,7.95847
261,1547182329609,-0.764832,4.28049,8.81004
262,1547182329624,-0.742737,4.28613,9.13406
263,1547182329656,-0.797501,4.37714,8.51816
264,1547182329676,-0.691086,4.23767,7.91681
265,1547182329712,-0.796219,4.40768,8.09962
266,1547182329712,-0.727844,4.22298,8.19067
267,1547182329759,-0.568863,4.15489,8.04309
268,1547182329759,-0.543045,4.13074,8.04466
269,1547182329774,-0.632065,4.11803,8.09416
270,1547182329783,-0.681107,4.23242,8.05296
271,1547182329815,-0.730026,4.30739,8.28744
272,1547182329831,-0.768555,4.29041,8.36774
273,1547182329846,-0.768066,4.29041,8.29544
274,1547182329862,-0.627365,4.25623,8.20601
275,1547182329894,-0.59227,4.22261,7.94875
276,1547182329910,-0.736832,4.27913,8.12218
277,1547182329925,-0.804459,4.29041,8.57622
278,1547182329940,-0.62616,4.20125,8.35565
279,1547182329972,-0.566483,4.14085,8.1933
280,1547182329988,-0.630203,4.15634,8.31566
281,1547182330004,-0.623978,4.11545,8.40291
282,1547182330020,-0.70575,4.08031,8.4827
283,1547182330052,-0.755768,4.07809,8.39253
284,1547182330069,-0.738617,4.14651,8.13431
285,1547182330086,-0.63237,4.14203,8.04424
286,1547182330118,-0.612915,4.11769,8.44763
287,1547182330132,-0.628204,4.06056,8.56433
288,1547182330147,-0.660294,4.06056,8.40535
289,1547182330163,-0.666306,4.07562,8.29073
290,1547182330195,-0.59201,4.09975,8.23959
291,1547182330211,-0.573059,4.10629,8.38309
292,1547182330227,-0.558899,4.06891,8.43448
293,1547182330243,-0.548676,4.06056,8.1619
294,1547182330274,-0.63855,4.04465,8.3383
295,1547182330292,-0.708679,4.08626,8.38881
296,1547182330310,-0.708679,4.09888,8.2706
297,1547182330325,-0.692123,4.09888,8.3163
298,1547182330359,-0.639038,4.089,8.32428
299,1547182330371,-0.711456,4.14902,8.34998
300,1547182330387,-0.771606,4.16177,8.34132
301,1547182330404,-0.905991,4.22722,8.32033
302,1547182330435,-0.788971,4.08026,8.06734
303,1547182330452,-0.700638,3.90337,8.12404
304,1547182330467,-0.46785,3.70113,8.29964
305,1547182330483,-0.526047,3.6223,8.54571
306,1547182330515,-0.425125,3.50511,8.97546
307,1547182330532,-0.390274,3.54024,8.793
308,1547182330547,-0.448944,3.54039,8.30295
309,1547182330562,-0.459686,3.46822,8.17955
310,1547182330594,-0.345779,3.39572,8.71899
311,1547182330611,-0.258804,3.26634,9.16406
312,1547182330627,-0.287949,3.10687,9.2169
313,1547182330659,-0.229111,3.02443,9.24533
314,1547182330675,-0.212585,2.9305,8.7765
315,1547182330690,-0.247711,3.00204,8.09671
316,1547182330710,-0.36702,3.06458,8.5162
317,1547182330737,-0.777817,3.19543,9.09582
318,1547182330754,-0.602798,3.15329,9.0415
319,1547182330774,-0.399017,3.20149,9.09018
320,1547182330792,-0.245529,3.26585,8.97925
321,1547182330814,-0.240677,3.23334,8.61732
322,1547182330830,-0.338013,3.15805,8.7285
323,1547182330848,-0.325607,3.07201,9.02248
324,1547182330865,-0.308899,3.09801,8.97609
325,1547182330894,-0.268158,3.07857,8.59854
326,1547182330910,-0.253128,3.04543,8.50348
327,1547182330925,-0.254883,3.09546,8.66176
328,1547182330941,-0.285629,3.10457,8.87207
329,1547182330973,-0.332184,3.1669,8.91847
330,1547182330988,-0.339066,3.18207,8.7998
331,1547182331005,-0.319702,3.17357,8.79744
332,1547182331020,-0.307419,3.21588,8.75513
333,1547182331052,-0.34787,3.16344,8.7804
334,1547182331068,-0.296295,3.0849,8.85561
